id_localidad,nombre,id_departamento
505,ESTACION LA NEGRA,6784
506,LA DULCE,6784
507,CUARTEL IX,6784
508,CUARTEL IV,6784
509,FORTIN ARENALES,82049
510,CAMPO BONAZOLA,82049
511,LAS TAPERITAS,82049
512,LANTERI,82049
513,CAMPO SIETE PROVINCIAS,82049
514,FLOR DE ORO,82049
515,LA BRITANICA,82049
516,DIVISADERO,66021
517,YACOCHUYA,66021
518,EL PASO,66021
519,LAS CONCHAS,66021
520,CAFAYATE,66021
521,SANTA BARBARA,66021
522,TOLOMBOM,66021
523,OJEDA,42133
524,ALTA ITALIA,42133
525,CAMPO GALLO,86014
526,CAITA TORO,62084
527,CHANQUIN,62084
528,SAN ANTONIO,34014
529,ISLA OCA,34014
530,COLONIA FORMOSA,34014
531,LA COLONIA,34014
532,FORMOSA,34014
533,GARRIDO,6476
534,LAVALLE,6476
535,EL EDEN,6476
536,LA LOMA,6476
537,PIERES,6476
538,EL MORO,6476
539,LA GUITARRA,6476
540,NAPALEOFU,6476
541,LA ALIANZA,6476
542,SANTA MARIA,6476
543,EL PAMPERO,6476
544,PUERTA DEL DIABLO,6476
545,LA FLORESTA,6476
546,ARENAS VERDES,6476
547,LA MALACARA,6476
548,SAN PASCUAL,6476
549,DOS NACIONES,6476
550,SAN MANUEL,6476
551,LA PROVIDENCIA,6476
552,LAS TOSCAS,6476
553,LAS NUTRIAS,6476
554,LAHORE,6476
555,TOME Y TRAIGA,6476
556,LOBERIA,6476
557,EL LENGUARAZ,6476
558,LA BODEGA,6476
559,TAMANGUEYU,6476
560,LICENCIADO MATIENZO,6476
561,SAN ANTONIO,6476
562,MOROMAR,6476
563,ALTO EL BOLSON,10035
564,LAS CUEVAS,10035
565,CORRAL BLANCO,10035
566,LAGUNA BLANCA,10035
567,BARRANCA LARGA,10035
568,VILLA VIL,10035
569,SAN IGNACIO (LOTEO VELEZ CRESPO),14007
570,SANTA MONICA,14007
571,SANTA ROSA DE CALAMUCHITA,14007
572,ARROYO SECO,14007
573,CAMPANA MAHUIDA,62084
574,ARROYO LOS BERROS,62084
575,LAS HERAS,78014
576,COLONIA LA SARITA,30113
577,RINCON LUCAS SUD,30113
578,VISTA ALEGRE NORTE,58035
579,VISTA ALEGRE SUR,58035
580,BARRIO RUCA LUHE,58035
581,MUYO,90021
582,ALPACHIRI,90021
583,LAS LENGUAS,90021
584,EL MOLINO,90021
585,COCHUNA,90021
586,LA CALERA,90021
587,LAS PAVAS,90021
588,POSTA CAMBIO ZALAZAR,34035
